date,entries,exits,churn_rate,playlist_status
2024-05-18,50.0,0.0,100.0,Volatile
2024-05-20,0.0,3.0,6.0,Moderate
2024-05-21,4.0,1.0,10.0,Moderate
2024-05-22,1.0,0.0,2.0,Stable
2024-05-24,0.0,1.0,2.0,Stable
2024-05-25,1.0,0.0,2.0,Stable
2024-05-26,1.0,0.0,2.0,Stable
2024-05-27,0.0,2.0,4.0,Stable
2024-05-28,5.0,2.0,14.000000000000002,Volatile
2024-05-29,0.0,1.0,2.0,Stable
2024-05-30,2.0,0.0,4.0,Stable
2024-06-01,1.0,0.0,2.0,Stable
2024-06-02,0.0,1.0,2.0,Stable
2024-06-03,1.0,2.0,6.0,Moderate
2024-06-04,4.0,2.0,12.0,Volatile
2024-06-06,0.0,1.0,2.0,Stable
2024-06-07,0.0,1.0,2.0,Stable
2024-06-08,1.0,0.0,2.0,Stable
2024-06-09,1.0,0.0,2.0,Stable
2024-06-10,0.0,1.0,2.0,Stable
2024-06-11,2.0,1.0,6.0,Moderate
2024-06-14,0.0,2.0,4.0,Stable
2024-06-15,2.0,0.0,4.0,Stable
2024-06-16,0.0,1.0,2.0,Stable
2024-06-18,1.0,1.0,4.0,Stable
2024-06-20,0.0,1.0,2.0,Stable
2024-06-22,0.0,1.0,2.0,Stable
2024-06-23,0.0,2.0,4.0,Stable
2024-06-24,3.0,1.0,8.0,Moderate
2024-06-25,3.0,0.0,6.0,Moderate
2024-06-27,0.0,1.0,2.0,Stable
2024-06-29,1.0,1.0,4.0,Stable
2024-06-30,0.0,1.0,2.0,Stable
2024-07-01,1.0,4.0,10.0,Moderate
2024-07-02,6.0,3.0,18.0,Volatile
2024-07-05,1.0,0.0,2.0,Stable
2024-07-08,1.0,1.0,4.0,Stable
2024-07-09,3.0,1.0,8.0,Moderate
2024-07-12,0.0,2.0,4.0,Stable
2024-07-16,1.0,0.0,2.0,Stable
2024-07-18,0.0,2.0,4.0,Stable
2024-07-19,1.0,0.0,2.0,Stable
2024-07-20,0.0,1.0,2.0,Stable
2024-07-21,1.0,0.0,2.0,Stable
2024-07-22,0.0,2.0,4.0,Stable
2024-07-23,4.0,0.0,8.0,Moderate
2024-07-25,0.0,2.0,4.0,Stable
2024-07-28,0.0,1.0,2.0,Stable
2024-07-29,1.0,1.0,4.0,Stable
2024-08-03,0.0,1.0,2.0,Stable
2024-08-04,1.0,0.0,2.0,Stable
2024-08-05,0.0,3.0,6.0,Moderate
2024-08-06,4.0,1.0,10.0,Moderate
2024-08-08,0.0,1.0,2.0,Stable
2024-08-09,1.0,1.0,4.0,Stable
2024-08-10,1.0,0.0,2.0,Stable
2024-08-11,0.0,1.0,2.0,Stable
2024-08-12,1.0,1.0,4.0,Stable
2024-08-13,1.0,0.0,2.0,Stable
2024-08-16,1.0,0.0,2.0,Stable
2024-08-18,0.0,1.0,2.0,Stable
2024-08-19,1.0,0.0,2.0,Stable
2024-08-26,2.0,0.0,4.0,Stable
2024-08-29,0.0,4.0,8.0,Moderate
2024-08-30,15.0,0.0,30.0,Volatile
2024-08-31,0.0,3.0,6.0,Moderate
2024-09-02,0.0,6.0,12.0,Volatile
2024-09-03,1.0,0.0,2.0,Stable
2024-09-04,0.0,2.0,4.0,Stable
2024-09-09,1.0,2.0,6.0,Moderate
2024-09-10,1.0,0.0,2.0,Stable
2024-09-11,0.0,1.0,2.0,Stable
2024-09-12,0.0,2.0,4.0,Stable
2024-09-13,2.0,1.0,6.0,Moderate
2024-09-14,1.0,0.0,2.0,Stable
2024-09-18,0.0,1.0,2.0,Stable
2024-09-19,1.0,1.0,4.0,Stable
2024-09-20,1.0,0.0,2.0,Stable
2024-09-21,0.0,1.0,2.0,Stable
2024-09-23,0.0,4.0,8.0,Moderate
2024-09-24,7.0,0.0,14.000000000000002,Volatile
2024-09-26,0.0,2.0,4.0,Stable
2024-09-27,2.0,0.0,4.0,Stable
2024-09-29,0.0,7.0,14.000000000000002,Volatile
2024-09-30,8.0,0.0,16.0,Volatile
2024-10-01,0.0,4.0,8.0,Moderate
2024-10-02,1.0,0.0,2.0,Stable
2024-10-03,0.0,1.0,2.0,Stable
2024-10-04,2.0,0.0,4.0,Stable
2024-10-06,0.0,3.0,6.0,Moderate
2024-10-07,7.0,0.0,14.000000000000002,Volatile
2024-10-09,1.0,0.0,2.0,Stable
2024-10-12,0.0,1.0,2.0,Stable
2024-10-13,0.0,9.0,18.0,Volatile
