song,artist,entry_date,exit_date,total_days,peak_position,time_to_peak,stage,content_maturity
0 CONFIANZA,Rvfv,2025-06-02,2025-06-23,20,23,5.0,Mature Phase,Mature Hit
"1 de Enero, Puntacana",Rels B,2025-04-28,2025-04-28,1,45,0.0,New Entry,Fresh Release
1000COSAS,Lola Indigo & Manuel Turizo,2025-03-10,2025-11-13,245,3,0.0,Peak Phase,Evergreen
100xCiento,Foreign Teck & Eladio Carrion & De La Ghetto,2025-04-30,2025-05-15,11,13,11.0,Mature Phase,Growing
14 FEBREROS,Quevedo,2025-11-24,2025-11-27,4,9,0.0,Peak Phase,Fresh Release
2AM,Sebastian Yatra & Bad Gyal,2025-11-24,2025-11-27,4,31,3.0,Growth Phase,Fresh Release
2xLL,JC Reyes & YOVNGCHIMI & Slayter,2025-07-12,2025-08-09,26,35,11.0,Growth Phase,Mature Hit
3 CAÍDAS,SAIKO,2025-04-28,2025-05-05,8,13,0.0,Mature Phase,Growing
4 PREZ,Cruz Cafuné,2024-05-28,2024-05-29,2,35,0.0,New Entry,Fresh Release
4TO 23,Aitana,2025-07-07,2025-07-16,9,17,0.0,Mature Phase,Growing
50 PALOS,Feid,2024-12-02,2024-12-02,1,38,0.0,New Entry,Fresh Release
57,KAROL G & Feid & DFZM,2025-11-10,2025-11-27,18,8,0.0,Peak Phase,Mature Hit
58,JHAYCO,2025-09-08,2025-09-18,8,35,0.0,Other,Growing
69,Nicky Jam & Feid,2024-05-21,2024-06-30,41,22,10.0,Mature Phase,Mature Hit
A 300,JC Reyes & Pedro Calderon,2024-08-06,2025-01-05,148,15,152.0,Mature Phase,Evergreen
A 300,JC Reyes & Pedro Calderon & Blacknife,2025-01-06,2025-04-24,107,11,8.0,Mature Phase,Evergreen
ACHO PR,Bad Bunny,2024-10-14,2024-10-20,7,15,0.0,Mature Phase,Growing
ADIVINO,Myke Towers,2025-08-24,2025-11-16,85,10,0.0,Peak Phase,Evergreen
ADIVINO,Myke Towers & Bad Bunny,2025-04-28,2025-08-23,116,1,0.0,Peak Phase,Evergreen
ALAKRAN,Feid,2024-12-02,2024-12-05,3,24,0.0,Mature Phase,Fresh Release
AMANECIÓ,Quevedo,2025-11-24,2025-11-27,4,13,0.0,Mature Phase,Fresh Release
AMARGURA,KAROL G,2024-05-26,2025-10-31,153,16,426.0,Mature Phase,Evergreen
APAGA EL CEL,FloyyMenor,2025-08-10,2025-09-04,14,22,0.0,Mature Phase,Mature Hit
APAGA EL CEL,FloyyMenor & Lewis Somes,2025-05-26,2025-08-09,75,7,17.0,Growth Phase,Evergreen
APT.,ROSÉ & Bruno Mars,2025-10-23,2025-11-01,7,42,7.0,Growth Phase,Growing
AQYNE,Aitana,2024-09-27,2024-09-29,3,40,1.0,Growth Phase,Fresh Release
ASI ES LA VIDA,Enrique Iglesias & Maria Becerra,2024-11-22,2025-03-23,67,38,70.0,Growth Phase,Evergreen
ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN),Don Toliver,2025-06-21,2025-06-21,1,46,0.0,New Entry,Fresh Release
